num;coord_x;coord_y
1047;331568.810;1221132
1048;331564.601;1221132
1049;331560.411;1221132
1050;331556.201;1221132
1051;331552.010;1221131
1052;331547.819;1221131
1053;331543.627;1221131
1054;331539.453;1221130
1055;331535.279;1221130
1056;331531.123;1221129
1057;331526.948;1221129
1058;331522.792;1221128
1059;331518.653;1221127
1060;331514.514;1221127
1061;331510.376;1221126
1062;331506.254;1221125
1063;331502.100;1221125
1064;331497.903;1221124
1065;331493.763;1221123
1066;331489.662;1221122
1067;331485.540;1221122
1068;331481.327;1221121
1069;331477.134;1221120
1070;331473.122;1221119
1071;331468.950;1221119
1072;331464.776;1221118
1073;331460.622;1221117
1074;331456.424;1221116
1075;331452.189;1221116
1076;331448.053;1221115
1077;331443.918;1221114
1078;331439.802;1221114
1079;331435.534;1221113
1080;331431.368;1221112
1081;331427.253;1221112
1082;331423.136;1221111
1083;331419.002;1221110
1084;331414.866;1221109
1085;331410.731;1221109
1086;331406.526;1221108
1087;331402.306;1221107
1088;331398.268;1221107
1089;331394.094;1221106
1090;331389.901;1221105
1091;331385.709;1221105
1092;331381.630;1221104
1093;331377.429;1221103
1094;331373.361;1221102
1095;331369.122;1221102
1096;331365.038;1221101
1097;331360.879;1221100
1098;331356.669;1221100
1099;331352.567;1221099
1100;331348.323;1221098
1101;331344.162;1221098
1102;331340.041;1221097
1103;331335.933;1221096
1104;331331.926;1221095
1105;331327.767;1221094
1106;331323.717;1221093
1107;331319.731;1221092
1108;331315.600;1221091
1109;331311.593;1221090
1110;331307.605;1221088
1111;331303.601;1221087
1112;331299.687;1221086
1113;331295.756;1221084
1114;331291.733;1221083
1115;331287.872;1221081
1116;331284.017;1221080
1117;331280.034;1221078
1118;331276.189;1221076
1119;331272.360;1221075
1120;331268.515;1221073
1121;331264.670;1221071
1122;331260.825;1221070
1123;331256.978;1221068
1124;331253.133;1221066
1125;331249.287;1221064
1126;331245.610;1221063
1127;331241.794;1221061
1128;331237.965;1221059
1129;331234.181;1221057
1130;331230.439;1221055
1131;331226.577;1221054
1132;331222.731;1221052
1133;331218.875;1221050
1134;331215.172;1221048
1135;331211.311;1221046
1136;331207.432;1221045
1137;331203.570;1221043
1138;331199.691;1221041
1139;331195.996;1221039
1140;331192.117;1221038
1141;331188.324;1221036
1142;331184.510;1221034
1143;331180.615;1221032
1144;331176.886;1221031
1145;331172.975;1221029
1146;331169.138;1221027
1147;331165.319;1221025
1148;331161.537;1221024
1149;331157.630;1221022
1150;331153.868;1221020
1151;331149.997;1221018
1152;331146.146;1221017
1153;331142.318;1221015
1154;331138.396;1221013
1155;331134.639;1221012
1156;331130.883;1221010
1157;331126.992;1221008
