num;coord_y;coord_x
1340;1221273;330467
1341;1221273;330462
1342;1221274;330458
1343;1221274;330454
1344;1221275;330450
1345;1221275;330446
1346;1221276;330441
1347;1221276;330437
1348;1221276;330433
1349;1221277;330429
1350;1221277;330425
1351;1221277;330420
1352;1221278;330416
1353;1221278;330412
1354;1221278;330408
1355;1221279;330404
1356;1221279;330399
1357;1221280;330395
1358;1221280;330391
1359;1221281;330387
1360;1221281;330383
1361;1221282;330378
1362;1221283;330374
1363;1221283;330370
1364;1221284;330366
1365;1221285;330362
1366;1221285;330358
1367;1221286;330353
1368;1221287;330349
1369;1221288;330345
1370;1221289;330341
1371;1221291;330337
1372;1221292;330333
1373;1221293;330329
1374;1221294;330325
1375;1221296;330321
1376;1221297;330317
1377;1221299;330313
1378;1221300;330310
1379;1221302;330306
1380;1221304;330302
1381;1221305;330298
1382;1221307;330294
1383;1221308;330290
1384;1221310;330286
1385;1221311;330282
1386;1221313;330278
1387;1221314;330274
1388;1221316;330270
1389;1221318;330267
1390;1221319;330263
1391;1221321;330259
1392;1221322;330255
1393;1221324;330251
1394;1221325;330247
1395;1221327;330243
1396;1221329;330239
1397;1221330;330235
1398;1221332;330231
1399;1221333;330228
1400;1221335;330224
1401;1221337;330220
1402;1221338;330216
1403;1221340;330212
1404;1221341;330208
1405;1221343;330204
1406;1221345;330200
1407;1221346;330197
1408;1221348;330193
1409;1221349;330189
1410;1221351;330185
1411;1221352;330181
1412;1221354;330177
1413;1221356;330173
1414;1221357;330170
1415;1221359;330166
1416;1221360;330162
1417;1221362;330158
1418;1221364;330154
1419;1221365;330150
1420;1221367;330146
1421;1221368;330142
1422;1221370;330138
1423;1221371;330134
1424;1221373;330130
1425;1221374;330127
1426;1221376;330123
1427;1221377;330119
1428;1221379;330115
1429;1221381;330111
1430;1221382;330107
1431;1221384;330103
1432;1221386;330099
1433;1221388;330095
1434;1221389;330091
1435;1221391;330088
1436;1221392;330084
1437;1221394;330080
1438;1221396;330076
1439;1221397;330072
1440;1221399;330068
1441;1221400;330064
1442;1221402;330060
1443;1221403;330056
1444;1221405;330052
1445;1221407;330048
1446;1221408;330045
1447;1221410;330041
1448;1221411;330037
1449;1221413;330033
1450;1221415;330029
1451;1221416;330025
1452;1221418;330021
1453;1221420;330017
1454;1221421;330014
1455;1221423;330010
1456;1221425;330006
1457;1221426;330002
1458;1221428;329998
1459;1221430;329994
1460;1221431;329990
1461;1221433;329987
1462;1221435;329983
1463;1221436;329979
1464;1221438;329975
1465;1221440;329971
1466;1221441;329967
1467;1221443;329963
1468;1221445;329959
1469;1221446;329956
1470;1221448;329952
1471;1221450;329948
1472;1221451;329944
1473;1221453;329940
1474;1221455;329936
1475;1221456;329932
1476;1221458;329929
1477;1221459;329925
1478;1221461;329921
1479;1221463;329917
1480;1221464;329913
1481;1221466;329909
1482;1221467;329905
1483;1221469;329901
1484;1221470;329897
1485;1221472;329893
1486;1221473;329889
1487;1221474;329885
1488;1221475;329881
1489;1221476;329877
1490;1221478;329873
1491;1221479;329869
1492;1221480;329865
